Player,G,MP,PTS,3P,ORB,DRB,AST,TOV,STL,BLK
Al Horford,22,31.4,15.8,1.2,2.4,5,2.9,1.4,0.6,1.5
Al Jefferson,17,26.2,13.7,0,1.3,5.1,1.8,0.7,0.8,1.1
Andre Drummond,21,34.9,18.5,0,5.6,11.3,0.8,2.2,1.9,1.5
Andrea Bargnani,17,13.1,5.9,0.1,0.6,1.1,0.1,0.7,0.1,0.2
Avery Bradley,19,30.4,16.2,2.6,0.5,2.1,2.1,1.6,1.7,0.3
Brook Lopez,20,34.1,20.1,0,2.9,5.2,1.8,2.1,0.7,2.1
Carl Landry,20,0,0,0,0,0,0,0,0,0
Chris Paul,15,31.3,17,1.1,0.5,3.1,8.3,2.5,1.7,0
Cody Zeller,18,21.7,8.1,0,1.7,3.4,0.8,0.9,0.7,0.6
David Lee,19,15.4,6.6,0,1.4,2.6,1.7,1.4,0.4,0.3
Dennis Schroder,22,22,10.1,1,0.4,2.2,4.4,1.8,0.9,0
Deron Williams,19,32.9,15.2,1.6,0.2,2.8,5.8,2.2,1.4,0.3
Derrick Rose,16,33.1,13.7,0.6,0.4,3.3,5.9,2.6,0.7,0.4
Draymond Green,21,33.9,12.9,1.4,1.6,6.9,7.2,2.9,1,1.4
Dwight Howard,15,33.2,13.5,0,4.2,8.5,1.7,2.7,0.8,1.9
Dwyane Wade,17,29.7,18.6,0.4,1,2.5,4.3,2.3,1.3,0.5
Evan Fournier,20,33.1,16.2,2.1,0.4,3.2,2.4,1.6,1.2,0.1
Giannis Antetokounmpo,20,32.9,15.9,0.5,1.2,5,2.6,2.4,0.9,1.1
Hassan Whiteside,19,28.4,13.1,0,2.7,7.8,0.2,1.8,0.6,4.5
Hollis Thompson,22,27.4,9,1.9,0.7,3.2,1.5,1.4,0.6,0.4
Isaiah Thomas,21,31.1,21,2.2,0.3,2,6.3,2.4,1.7,0
JR Smith,17,32.2,11.4,2.2,0.8,2.4,2,1.2,0.8,0.6
Jae Crowder,21,30.5,12.2,1.5,1.2,3.2,2.1,1.8,2.1,0.5
Jared Sullinger,21,25.5,10.3,0.7,3,6.5,2.6,1.5,1,0.9
Jeff Teague,19,30.1,16.5,1.2,0.6,2.2,6.4,2.8,1.2,0.4
Jeremy Lamb,19,24.2,12.3,1.3,0.8,4.1,1.5,0.9,0.4,0.5
Jeremy Lin,19,22.7,10.4,0.8,0.5,2.3,2.9,1.7,0.9,0.5
Jimmy Butler,18,37.1,20.4,1.4,1,4.2,3.3,2,1.9,0.8
Joakim Noah,17,21.5,3.4,0,2.5,5.9,3.5,1.8,0.5,0.9
Joe Johnson,20,34.6,10.9,1.1,0.7,3.9,3.8,2.1,0.8,0.1
Kawhi Leonard,19,34.1,21.9,2.1,1.4,6.2,2.6,1.3,1.8,1.2
Kendall Marshall,19,0,0,0,0,0,0,0,0,0
Kent Bazemore,17,27.5,11.8,1.4,0.2,4,2.1,1.5,1.6,0.5
Kevin Durant,14,35.4,27.6,2.7,0.2,7.5,3.6,3.2,0.9,1.5
Kevin Garnett,17,16.1,3,0,0.4,4.8,1.7,0.6,0.8,0.4
Kevin Love,20,33.7,18.2,2.4,2.8,8.6,2.2,2.4,0.6,0.5
Kirk Hinrich,9,17.8,7,1,0.1,1.1,1.9,0.8,0.7,0
Kyle Korver,20,31.7,10.5,1.9,0.1,4,1.9,1.5,0.8,0.3
Lebron James,19,36.9,26.2,1.2,1.5,6.3,6.5,3.5,1.3,0.6
Monta Ellis,19,32.3,11.7,0.5,0.5,2.7,4.8,2.6,1.6,0.5
Nicolas Batum,20,34.9,16.9,2.3,1.1,5.5,4.7,3.2,1.2,0.6
Pau Gasol,18,29.1,14.8,0.1,2.2,8.6,2.7,1.4,0.7,2.2
Rajon Rondo,21,35.2,12.5,0.9,1.3,5.3,11,3.7,1.8,0.1
Richard Jefferson,20,23.5,7.2,0.9,0.2,1.4,1.1,0.8,0.7,0.2
Robert Covington,13,30,14,2.3,0.8,5.3,2.1,3.5,2.7,0.8
Rudy Gobert,14,34.2,9.2,0,3.5,7.4,1.6,2.4,0.9,2.6
Russell Westbrook,20,34.7,27.1,1.5,1.9,5.6,9.7,5.2,2.4,0.3
Steph Curry,22,34.3,32.4,5.3,0.5,4.4,5.8,3.6,2.2,0.1
Terrence Jones,16,25.9,11.4,0.8,2,3.4,1.1,1.3,0.4,1
Thaddeus Young,20,31.9,15.9,0.1,2.5,6.3,1.4,1.7,1.4,0.4
Thomas Robinson,20,11.2,3.6,0,1.6,2.8,0.1,0.9,0.3,0.7
Tim Duncan,20,27.4,9.7,0,2.1,6.8,3,1.9,0.8,1.6
Tony Allen,20,21.8,6.2,0.2,1.4,2.4,1,0.8,1.6,0.2
Tony Wroten,2,13.5,3,0,0,0.5,2.5,3,0,0
Tristan Thompson,20,27.6,7.5,0,2.9,7.2,0.9,0.9,0.5,0.6
Victor Oladipo,18,30.7,14.7,1.1,0.7,5.4,3.9,1.6,1.2,0.8
