Player,G,MP,PTS,3P,ORB,DRB,AST,TOV,STL,BLK
Al Horford,77.0,35.3,16.4,0.0,2.5,7.2,3.4,1.9,1.0,1.2
Al Jefferson,77.0,32.5,19.8,0.0,1.9,8.0,2.1,1.6,1.0,1.1
Andre Drummond,79.0,32.8,16.2,0.0,5.1,8.6,1.1,1.6,1.2,1.9
Andrea Bargnani,42.0,29.6,13.0,0.0,1.6,3.6,1.1,1.4,0.5,1.2
Avery Bradley,76.0,32.5,14.8,1.7,0.6,2.8,1.9,1.5,1.2,0.3
Brook Lopez,82.0,34.7,19.3,0.0,2.4,3.8,1.5,2.1,0.6,1.8
Carl Landry,80.0,30.1,16.1,0.0,2.2,3.6,0.8,1.7,0.6,0.7
Chris Paul,82.0,34.2,17.9,1.7,0.6,3.8,9.5,2.2,2.0,0.2
Cody Zeller,76.0,20.4,8.4,0.0,1.5,3.7,1.7,1.1,0.6,0.5
David Lee,78.0,36.4,17.6,0.0,2.7,8.2,3.2,2.5,0.8,0.3
Dennis Schroder,72.0,22.3,8.1,0.6,0.6,2.1,4.2,1.9,0.8,0.2
Deron Williams,77.0,35.9,17.6,2.1,0.3,2.6,7.3,2.7,1.2,0.4
Derrick Rose,81.0,37.1,24.2,1.5,0.9,3.0,7.3,3.4,1.0,0.6
Draymond Green,78.0,31.6,13.9,1.5,1.6,5.8,3.3,1.7,1.6,1.2
Dwight Howard,75.0,35.3,16.5,0.0,3.2,8.9,1.7,2.9,1.1,2.4
Dwyane Wade,68.0,34.0,19.5,0.4,1.2,3.5,4.9,3.0,1.8,0.8
Evan Fournier,74.0,23.5,12.1,0.8,0.7,2.4,1.8,1.4,0.7,0.3
Giannis Antetokounmpo,77.0,32.7,14.5,0.5,1.4,5.0,1.8,2.1,0.9,0.8
Hassan Whiteside,46.0,27.6,10.6,0.0,3.0,7.5,1.3,0.9,0.8,1.7
Hollis Thompson,71.0,26.1,7.3,1.1,1.0,2.6,1.7,1.0,0.9,0.4
Isaiah Thomas,78.0,32.9,19.2,1.8,0.7,2.4,5.3,2.7,1.3,0.2
JR Smith,80.0,32.9,17.1,2.3,0.8,4.4,2.6,1.6,1.2,0.3
Jae Crowder,79.0,21.3,10.5,1.0,1.1,2.8,1.4,0.8,1.0,0.5
Jared Sullinger,71.0,29.1,16.0,1.0,3.4,4.6,2.0,1.7,0.8,0.8
Jeff Teague,79.0,33.1,16.3,1.2,0.5,2.2,6.8,2.9,1.6,0.5
Jeremy Lamb,76.0,21.9,10.2,1.4,0.6,2.3,1.8,0.9,0.9,0.3
Jeremy Lin,81.0,33.1,14.0,1.2,0.5,2.8,5.7,2.9,1.7,0.4
Jimmy Butler,80.0,32.9,16.9,1.1,1.5,3.4,2.6,1.3,1.6,0.4
Joakim Noah,80.0,34.9,12.3,0.0,3.4,7.6,5.3,2.4,1.2,1.7
Joe Johnson,79.0,34.3,14.4,1.9,0.6,4.0,3.5,1.7,0.7,0.2
Kawhi Leonard,65.0,32.4,18.1,1.1,1.7,6.1,2.5,1.6,2.4,0.9
Kendall Marshall,51.0,32.7,10.5,1.1,0.7,3.1,8.5,2.7,1.2,0.3
Kent Bazemore,73.0,19.4,8.7,0.6,0.6,2.9,1.5,1.2,0.9,0.6
Kevin Durant,81.0,38.1,31.3,2.3,0.7,7.1,5.4,3.5,1.4,1.2
Kevin Garnett,51.0,20.9,4.9,0.0,1.1,5.7,1.6,1.3,0.9,0.8
Kevin Love,76.0,35.9,25.1,2.4,4.1,9.8,4.2,2.5,0.7,0.5
Kirk Hinrich,72.0,28.4,8.4,1.1,0.4,2.1,4.1,1.6,1.1,0.3
Kyle Korver,74.0,31.6,11.4,2.8,0.3,3.6,2.7,1.4,0.9,0.5
Lebron James,77.0,37.2,26.2,1.5,1.2,6.6,7.0,3.5,1.7,0.8
Monta Ellis,81.0,37.0,18.1,1.1,0.5,3.2,5.7,3.2,2.0,0.4
Nicolas Batum,82.0,35.7,12.6,2.0,1.3,5.8,4.9,2.5,1.1,1.0
Pau Gasol,77.0,33.9,17.1,0.1,2.5,8.8,2.5,2.0,0.3,1.8
Rajon Rondo,68.0,29.5,8.6,0.4,1.1,4.3,7.7,3.1,1.3,0.1
Richard Jefferson,81.0,26.5,9.4,1.4,0.3,2.4,1.5,1.1,0.6,0.2
Robert Covington,66.0,30.0,15.8,1.6,1.2,3.5,1.3,1.8,1.3,0.7
Rudy Gobert,78.0,27.6,10.1,0.0,2.9,6.2,1.8,1.3,0.8,1.4
Russell Westbrook,82.0,34.6,22.4,1.2,1.4,4.3,7.8,3.8,1.8,0.3
Steph Curry,79.0,37.4,23.2,3.5,0.8,3.6,7.8,3.7,2.0,0.3
Terrence Jones,74.0,28.6,14.8,0.7,2.3,4.6,1.4,1.1,0.9,1.3
Thaddeus Young,82.0,32.8,16.9,1.1,2.2,4.6,2.2,2.0,2.0,0.7
Thomas Robinson,68.0,17.3,8.5,0.4,2.0,3.2,1.1,1.4,0.8,0.6
Tim Duncan,75.0,27.9,14.0,0.0,2.2,7.2,2.9,2.0,0.8,1.9
Tony Allen,78.0,26.2,8.6,0.1,1.4,3.0,1.2,1.2,1.6,0.5
Tony Wroten,70.0,26.9,14.2,0.9,1.2,2.5,3.1,2.9,1.3,0.3
Tristan Thompson,81.0,32.5,13.4,0.2,3.7,6.1,1.5,1.6,0.9,0.9
Victor Oladipo,74.0,34.3,11.4,0.8,0.8,2.5,4.2,3.0,1.6,0.5
