Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,22,NYK,NBA,SF,67,14,1129,137,230,0.596,0,0,,137,230,0.596,0.596,71,123,0.577,109,194,303,43,30,20,51,124,345
2006-07,23,NYK,NBA,PF,58,12,1731,240,400,0.6,0,0,,240,400,0.6,0.6,141,173,0.815,196,406,602,104,48,23,92,155,621
2007-08,24,NYK,NBA,PF,81,29,2356,341,618,0.552,0,2,0,341,616,0.554,0.552,194,237,0.819,242,482,724,95,55,29,97,210,876
2008-09,25,NYK,NBA,C,81,74,2824,522,951,0.549,0,3,0,522,948,0.551,0.549,249,330,0.755,256,695,951,174,80,22,150,260,1293
2009-10 ★,26,NYK,NBA,C,81,81,3019,686,1258,0.545,0,8,0,686,1250,0.549,0.545,268,330,0.812,228,721,949,295,85,40,189,257,1640
2010-11,27,GSW,NBA,PF,73,73,2634,496,978,0.507,1,3,0.333,495,975,0.508,0.508,210,267,0.787,217,497,714,233,74,31,170,211,1203
2011-12,28,GSW,NBA,PF,57,57,2121,464,922,0.503,0,5,0,464,917,0.506,0.503,219,280,0.782,171,374,545,162,54,22,149,179,1147
2012-13 ★,29,GSW,NBA,PF,79,79,2907,602,1160,0.519,0,4,0,602,1156,0.521,0.519,255,320,0.797,218,668,886,279,67,22,207,246,1459
2013-14,30,GSW,NBA,PF,69,67,2288,513,981,0.523,0,1,0,513,980,0.523,0.523,231,296,0.78,182,461,643,147,48,26,152,206,1257
2014-15,31,GSW,NBA,PF,49,4,904,160,313,0.511,0,2,0,160,311,0.514,0.511,68,104,0.654,81,176,257,85,31,26,49,83,388
2015-16,32,BOS,NBA,PF,19,3,293,49,96,0.51,0,0,,49,96,0.51,0.51,28,37,0.757,26,50,76,33,8,5,26,38,126
