Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,UTA,NBA,PG,80,47,2307,339,805,0.421,91,219,0.416,248,586,0.423,0.478,95,135,0.704,35,159,194,359,60,17,145,233,864
2006-07,22,UTA,NBA,PG,80,80,2950,494,1083,0.456,82,255,0.322,412,828,0.498,0.494,227,296,0.767,41,226,267,745,78,13,246,254,1297
2007-08,23,UTA,NBA,PG,82,82,3059,566,1117,0.507,83,210,0.395,483,907,0.533,0.544,330,411,0.803,34,209,243,862,90,23,279,200,1545
2008-09,24,UTA,NBA,PG,68,68,2505,463,984,0.471,70,226,0.31,393,758,0.518,0.506,326,384,0.849,24,171,195,725,73,20,228,134,1322
2009-10 ★,25,UTA,NBA,PG,76,76,2802,494,1053,0.469,96,259,0.371,398,794,0.501,0.515,335,418,0.801,50,253,303,798,96,16,252,208,1419
2010-11 ★,26,TOT,NBA,PG,65,65,2465,428,975,0.439,105,317,0.331,323,658,0.491,0.493,348,412,0.845,40,220,260,667,79,15,230,190,1309
2011-12 ★,27,NJN,NBA,PG,55,55,1999,391,961,0.407,115,342,0.336,276,619,0.446,0.467,257,305,0.843,23,160,183,481,67,20,219,121,1154
2012-13,28,BRK,NBA,PG,78,78,2842,495,1124,0.44,169,447,0.378,326,677,0.482,0.516,317,369,0.859,29,203,232,604,75,30,218,194,1476
2013-14,29,BRK,NBA,PG,64,58,2059,322,716,0.45,98,268,0.366,224,448,0.5,0.518,173,216,0.801,15,153,168,392,93,13,143,148,915
2014-15,30,BRK,NBA,PG,68,55,2114,298,771,0.387,87,237,0.367,211,534,0.395,0.443,201,241,0.834,29,208,237,448,64,17,154,157,884
2015-16,31,DAL,NBA,PG,19,19,625,101,232,0.435,30,80,0.375,71,152,0.467,0.5,56,60,0.933,3,53,56,110,27,6,42,48,288
