Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,CHI,NBA,PG,76,66,2706,318,823,0.386,144,369,0.39,174,454,0.383,0.474,135,168,0.804,42,217,259,517,101,21,204,276,915
2004-05,24,CHI,NBA,PG,77,77,2800,445,1122,0.397,145,408,0.355,300,714,0.42,0.461,171,216,0.792,32,272,304,494,122,21,176,244,1206
2005-06,25,CHI,NBA,PG,81,81,2955,451,1078,0.418,126,341,0.37,325,737,0.441,0.477,256,314,0.815,29,259,288,514,94,21,188,251,1284
2006-07,26,CHI,NBA,PG,80,80,2839,475,1061,0.448,140,337,0.415,335,724,0.463,0.514,237,284,0.835,32,242,274,500,100,23,191,274,1327
2007-08,27,CHI,NBA,PG,75,72,2380,330,797,0.414,84,240,0.35,246,557,0.442,0.467,118,142,0.831,28,216,244,452,87,19,157,224,862
2008-09,28,CHI,NBA,SG,51,4,1339,183,419,0.437,69,169,0.408,114,250,0.456,0.519,68,86,0.791,16,107,123,197,66,19,87,126,503
2009-10,29,CHI,NBA,SG,74,53,2481,308,753,0.409,104,280,0.371,204,473,0.431,0.478,85,113,0.752,24,236,260,330,85,24,113,204,805
2010-11,30,TOT,NBA,SG-PG,72,51,2157,278,623,0.446,75,188,0.399,203,435,0.467,0.506,106,126,0.841,21,161,182,288,75,17,121,185,737
2011-12,31,ATL,NBA,SG,48,31,1237,122,295,0.414,47,136,0.346,75,159,0.472,0.493,25,32,0.781,11,90,101,132,38,11,58,100,316
2012-13,32,CHI,NBA,PG,60,60,1764,159,422,0.377,71,182,0.39,88,240,0.367,0.461,70,98,0.714,16,142,158,314,63,25,99,192,459
2013-14,33,CHI,NBA,PG,73,61,2116,243,619,0.393,85,242,0.351,158,377,0.419,0.461,95,125,0.76,31,161,192,286,80,26,120,203,666
2014-15,34,CHI,NBA,SG,66,22,1610,142,381,0.373,58,168,0.345,84,213,0.394,0.449,35,50,0.7,20,101,121,148,46,14,73,144,377
2015-16,35,CHI,NBA,SG,9,2,160,22,49,0.449,9,16,0.563,13,33,0.394,0.541,10,11,0.909,1,10,11,17,6,0,7,20,63
