Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,CLE,NBA,SG,79,79,3122,622,1492,0.417,63,217,0.29,559,1275,0.438,0.438,347,460,0.754,99,333,432,465,130,58,273,149,1654
2004-05 ★,20,CLE,NBA,SF,80,80,3388,795,1684,0.472,108,308,0.351,687,1376,0.499,0.504,477,636,0.75,111,477,588,577,177,52,262,146,2175
2005-06 ★,21,CLE,NBA,SF,79,79,3361,875,1823,0.48,127,379,0.335,748,1444,0.518,0.515,601,814,0.738,75,481,556,521,123,66,260,181,2478
2006-07 ★,22,CLE,NBA,SF,78,78,3190,772,1621,0.476,99,310,0.319,673,1311,0.513,0.507,489,701,0.698,83,443,526,470,125,55,250,171,2132
2007-08 ★,23,CLE,NBA,SF,75,74,3027,794,1642,0.484,113,359,0.315,681,1283,0.531,0.518,549,771,0.712,133,459,592,539,138,81,255,165,2250
2008-09 ★,24,CLE,NBA,SF,81,81,3054,789,1613,0.489,132,384,0.344,657,1229,0.535,0.53,594,762,0.78,106,507,613,587,137,93,241,139,2304
2009-10 ★,25,CLE,NBA,SF,76,76,2966,768,1528,0.503,129,387,0.333,639,1141,0.56,0.545,593,773,0.767,71,483,554,651,125,77,261,119,2258
2010-11 ★,26,MIA,NBA,SF,79,79,3063,758,1485,0.51,92,279,0.33,666,1206,0.552,0.541,503,663,0.759,80,510,590,554,124,50,284,163,2111
2011-12 ★,27,MIA,NBA,SF,62,62,2326,621,1169,0.531,54,149,0.362,567,1020,0.556,0.554,387,502,0.771,94,398,492,387,115,50,213,96,1683
2012-13 ★,28,MIA,NBA,PF,76,76,2877,765,1354,0.565,103,254,0.406,662,1100,0.602,0.603,403,535,0.753,97,513,610,551,129,67,226,110,2036
2013-14 ★,29,MIA,NBA,PF,77,77,2902,767,1353,0.567,116,306,0.379,651,1047,0.622,0.61,439,585,0.75,81,452,533,488,121,26,270,126,2089
2014-15 ★,30,CLE,NBA,SF,69,69,2493,624,1279,0.488,120,339,0.354,504,940,0.536,0.535,375,528,0.71,51,365,416,511,109,49,272,135,1743
2015-16,31,CLE,NBA,SF,19,19,702,185,378,0.489,22,78,0.282,163,300,0.543,0.519,105,148,0.709,29,119,148,124,24,11,67,38,497
