Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,20,GSW,NBA,SG,49,3,886,132,318,0.415,28,82,0.341,104,236,0.441,0.459,42,59,0.712,22,83,105,78,32,11,58,69,334
2006-07,21,GSW,NBA,SG,77,53,2638,480,1010,0.475,39,143,0.273,441,867,0.509,0.495,273,358,0.763,62,181,243,319,132,21,221,210,1272
2007-08,22,GSW,NBA,SG,81,72,3071,652,1227,0.531,12,52,0.231,640,1175,0.545,0.536,320,417,0.767,133,271,404,315,124,27,173,195,1636
2008-09,23,GSW,NBA,SG,25,25,892,194,430,0.451,8,26,0.308,186,404,0.46,0.46,78,94,0.83,14,94,108,93,39,8,67,67,474
2009-10,24,GSW,NBA,SG,64,64,2647,631,1406,0.449,77,228,0.338,554,1178,0.47,0.476,292,388,0.753,47,210,257,340,143,25,244,189,1631
2010-11,25,GSW,NBA,SG,80,80,3227,726,1611,0.451,137,379,0.361,589,1232,0.478,0.493,340,431,0.789,44,237,281,450,168,23,252,203,1929
2011-12,26,TOT,NBA,SG,58,58,2120,450,1040,0.433,62,201,0.308,388,839,0.462,0.463,219,275,0.796,20,180,200,346,85,18,177,136,1181
2012-13,27,MIL,NBA,SG,82,82,3076,597,1436,0.416,94,328,0.287,503,1108,0.454,0.448,289,374,0.773,45,271,316,496,169,36,254,164,1577
2013-14,28,DAL,NBA,PG,82,82,3023,576,1278,0.451,69,209,0.33,507,1069,0.474,0.478,339,430,0.788,38,257,295,471,141,23,264,197,1560
2014-15,29,DAL,NBA,SG,80,80,2699,602,1354,0.445,81,284,0.285,521,1070,0.487,0.475,228,303,0.752,34,156,190,329,148,25,198,197,1513
2015-16,30,IND,NBA,SG,19,19,613,89,213,0.418,10,44,0.227,79,169,0.467,0.441,34,46,0.739,10,52,62,92,30,10,49,41,222
