Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,21,NJN,NBA,SF,79,9,1917,270,591,0.457,13,56,0.232,257,535,0.48,0.468,189,265,0.713,85,208,293,140,64,48,107,211,742
2002-03,22,NJN,NBA,SF,80,80,2879,456,911,0.501,6,24,0.25,450,887,0.507,0.504,324,436,0.743,150,364,514,201,80,44,156,216,1242
2003-04,23,NJN,NBA,SF,82,82,3133,555,1115,0.498,48,132,0.364,507,983,0.516,0.519,357,468,0.763,109,355,464,315,92,28,198,224,1515
2004-05,24,NJN,NBA,SF,33,33,1355,238,564,0.422,30,89,0.337,208,475,0.438,0.449,227,269,0.844,49,191,240,133,33,17,132,109,733
2005-06,25,NJN,NBA,SF,78,78,3059,495,1005,0.493,60,188,0.319,435,817,0.532,0.522,471,580,0.812,95,439,534,297,59,17,174,193,1521
2006-07,26,NJN,NBA,SF,55,53,1956,303,665,0.456,52,145,0.359,251,520,0.483,0.495,239,326,0.733,48,192,240,148,34,8,120,123,897
2007-08,27,NJN,NBA,SF,82,82,3200,619,1328,0.466,77,213,0.362,542,1115,0.486,0.495,542,679,0.798,93,249,342,252,76,21,199,225,1857
2008-09,28,MIL,NBA,SF,82,82,2939,537,1222,0.439,116,292,0.397,421,930,0.453,0.487,417,518,0.805,57,317,374,199,66,14,165,252,1607
2009-10,29,SAS,NBA,SF,81,70,2520,362,775,0.467,59,187,0.316,303,588,0.515,0.505,211,287,0.735,58,298,356,158,45,40,105,178,994
2010-11,30,SAS,NBA,SF,81,81,2459,304,642,0.474,135,307,0.44,169,335,0.504,0.579,148,195,0.759,54,256,310,107,38,34,93,164,891
2011-12,31,TOT,NBA,SF,63,44,1748,203,488,0.416,113,269,0.42,90,219,0.411,0.532,59,85,0.694,26,193,219,88,37,19,50,121,578
2012-13,32,GSW,NBA,SF,56,1,568,62,136,0.456,14,45,0.311,48,91,0.527,0.507,38,53,0.717,5,79,84,31,14,7,23,45,176
2013-14,33,UTA,NBA,SF,82,78,2213,294,654,0.45,123,301,0.409,171,353,0.484,0.544,120,162,0.741,18,201,219,130,56,14,94,168,831
2014-15,34,DAL,NBA,SF,74,18,1244,144,324,0.444,66,155,0.426,78,169,0.462,0.546,78,114,0.684,25,158,183,61,32,11,52,115,432
2015-16,35,CLE,NBA,SF,20,3,470,53,124,0.427,18,57,0.316,35,67,0.522,0.5,19,34,0.559,5,27,32,22,13,5,17,45,143
